cuenta|usuario|marca|producto|texto|precioActual|precioAnterior
1|silvermoon|CLOCHé|Camiseta encaje sa...|Nueva sin etiqueta|5,00€|15,00€
2|ecollado|MANGO|Blusa top mango|Puesta una vez|12,00€|39,00€
3|MERISUE|LAVAND|Bolso lavand|Ha bajado 6,00€|29,99€|35,00€
4|Mireiatrendy|VARIAS MARCAS|Camiseta|Nueva con etiqueta|10,25€|0,00€
5|Mary02|VARIAS MARCAS|Vestido veraniego|Puesta una vez|12,00€|50,00€
6|yanira220783|VARIAS MARCAS|Pulsera|En perfecto estado|8,00€|22,00€
7|decorot|ARIDZA BROSS|Bolso aridza bros ...|En perfecto estado|155,00€|340,00€
8|88sara|VARIAS MARCAS|Camiseta de tirantes|En perfecto estado|5,00€|0,00€
9|patri260293|DESIGUAL|Vestido desigual|En perfecto estado|8,00€|0,00€
10|Loveyaloads|H&M;|Blusa h&m;|Nueva sin etiqueta|9,00€|29,00€
11|rag964|MANGO|Falda|Ha bajado 0,95€|7,95€|7,95€
12|anagal|MEMBUR|Bolso membur|En perfecto estado|8,00€|29,00€
13|Andrea771|ROBERTO VERINO|Roberto verino pan...|Puesta una vez|90,00€|140,00€
14|monpink|VARIAS MARCAS|Bella pulsera lín...|Ha bajado 0,90€|6,90€|6,90€
15|MERISUE|STRADIVARIUS|Camisa piel meloco...|Ha bajado 7,00€|8,00€|15,00€
16|Lana-s|DENNY ROSE|Vestido largo|Puesta una vez|60,00€|120,00€
17|Etiama|SUPERDRY|Vestido superdry|Puesta una vez|30,00€|0,00€
18|Mary02|MASSIMO DUTTI|Vestido blanco tab...|En perfecto estado|25,00€|80,00€
19|yanira220783|VARIAS MARCAS|Colgante|Nueva con etiqueta|12,00€|25,00€
20|Mireiatrendy|AéROPOSTALE|Camiseta|Nueva sin etiqueta|8,00€|0,00€
21|fermar2008|WOMAN SECRET|Pijama hello kitty|Usado|10,00€|0,00€
22|autoanita|MANGO|Bailarinas mango|Usado|12,00€|30,00€
23|ErikaChiic|ZARA|Collar piedras col...|En perfecto estado|16,00€|30,00€
24|pau-ventas|VARIAS MARCAS|Pulsera de piel|Nueva sin etiqueta|10,00€|0,00€
25|Andriuspp|PRIMARK|Sujetador|Ha bajado 0,99€|4,99€|4,99€
26|comprovendo100|SAVAGE CULTURE|Vestido corto algo...|Nueva sin etiqueta|20,00€|0,00€
27|ayiti|CALZEDONIA|Bikini|En perfecto estado|30,50€|0,00€
28|marilostyle|PRIMARK|Sandalias primark|En perfecto estado|5,00€|0,00€
29|Terranueva|MASSIMO DUTTI|Chaqueta sastre|Puesta una vez|50,00€|150,00€
30|sorciere|FLAMENCO|Camisa flamenco|Nueva sin etiqueta|29,99€|55,00€
31|lady999|LOTUS|Colgante lotus|Puesta una vez|34,99€|0,00€
32|GUSILUZA|MARCA DESCONOCIDA|Falda midi|Puesta una vez|10,00€|120,00€
33|Makoke6|VARIAS MARCAS|Zuecos blancos|Puesta una vez|18,00€|60,00€
34|Mallitax|BERSHKA|Bomber terciopelo ...|Puesta una vez|15,00€|0,00€
35|88sara|VARIAS MARCAS|Camiseta tirantes|En perfecto estado|5,00€|0,00€
36|MaruxaR|BERSHKA|Botín básico|En perfecto estado|15,00€|29,90€
37|EsRuSe|VARIAS MARCAS|Cinturón fajín f...|Nueva con etiqueta|6,00€|55,00€
38|hellopeople|ZARA|Jeans negros zara|En perfecto estado|15,00€|0,00€
